sample size and proportion,classifier,metric,val
400_5050,knn_tfidf,ci_upper,0.763355716
400_5050,knn_tfidf,std,0.06115963
500_1090,lr_tfidf,f1_mean,0.929392119
500_1090,lr_tfidf,ci_lower,0.896551724
500_1090,lr_tfidf,ci_upper,0.961038961
500_1090,lr_tfidf,std,0.020026894
500_1090,nb_tfidf,f1_mean,0.936733722
500_1090,nb_tfidf,ci_lower,0.904109589
500_1090,nb_tfidf,ci_upper,0.974358974
500_1090,nb_tfidf,std,0.021297669
500_1090,rf_tfidf,f1_mean,0.932477954
500_1090,rf_tfidf,ci_lower,0.896551724
500_1090,rf_tfidf,ci_upper,0.961038961
500_1090,rf_tfidf,std,0.021503912
500_1090,dt_tfidf,f1_mean,0.879247308
500_1090,dt_tfidf,ci_lower,0.826855374
500_1090,dt_tfidf,ci_upper,0.919102933
500_1090,dt_tfidf,std,0.029655924
500_1090,svc_tfidf,f1_mean,0.931789412
500_1090,svc_tfidf,ci_lower,0.896551724
500_1090,svc_tfidf,ci_upper,0.961038961
500_1090,svc_tfidf,std,0.020799824
500_1090,lsvc_tfidf,f1_mean,0.928326186
500_1090,lsvc_tfidf,ci_lower,0.88695164
500_1090,lsvc_tfidf,ci_upper,0.966938688
500_1090,lsvc_tfidf,std,0.026243026
500_1090,sgd_tfidf,f1_mean,0.919426375
500_1090,sgd_tfidf,ci_lower,0.881118881
500_1090,sgd_tfidf,ci_upper,0.954248366
500_1090,sgd_tfidf,std,0.027009671
500_1090,knn_tfidf,f1_mean,0.937145947
500_1090,knn_tfidf,ci_lower,0.907639903
500_1090,knn_tfidf,ci_upper,0.960557075
500_1090,knn_tfidf,std,0.01931678
500_1090,lr_w2v,f1_mean,0.931780411
500_1090,lr_w2v,ci_lower,0.888888889
500_1090,lr_w2v,ci_upper,0.967741935
500_1090,lr_w2v,std,0.022836832
500_2080,lr_tfidf,f1_mean,0.849388828
500_2080,lr_tfidf,ci_lower,0.756519924
500_2080,lr_tfidf,ci_upper,0.932950531
500_2080,lr_tfidf,std,0.04507099
500_2080,nb_tfidf,f1_mean,0.735673101
500_2080,nb_tfidf,ci_lower,0.617895758
500_2080,nb_tfidf,ci_upper,0.844874924
500_2080,nb_tfidf,std,0.060592007
500_2080,rf_tfidf,f1_mean,0.711236568
500_2080,rf_tfidf,ci_lower,0.584266584
500_2080,rf_tfidf,ci_upper,0.816666667
500_2080,rf_tfidf,std,0.060895857
500_2080,dt_tfidf,f1_mean,0.721733338
500_2080,dt_tfidf,ci_lower,0.623086089
