sample size and proportion,classifier,metric,val
500_3070,nb_tfidf,std,0.066571016
500_3070,rf_tfidf,f1_mean,0.495301936
500_3070,rf_tfidf,ci_lower,0.375813008
500_3070,rf_tfidf,ci_upper,0.626079137
500_3070,rf_tfidf,std,0.066529796
500_3070,dt_tfidf,f1_mean,0.760959393
500_3070,dt_tfidf,ci_lower,0.655676458
500_3070,dt_tfidf,ci_upper,0.85
500_3070,dt_tfidf,std,0.049252007
500_3070,svc_tfidf,f1_mean,0.682316128
500_3070,svc_tfidf,ci_lower,0.561216566
500_3070,svc_tfidf,ci_upper,0.800851254
500_3070,svc_tfidf,std,0.063436023
500_3070,lsvc_tfidf,f1_mean,0.743822205
500_3070,lsvc_tfidf,ci_lower,0.644895833
500_3070,lsvc_tfidf,ci_upper,0.84
500_3070,lsvc_tfidf,std,0.052367871
500_3070,sgd_tfidf,f1_mean,0.778337805
500_3070,sgd_tfidf,ci_lower,0.683213636
500_3070,sgd_tfidf,ci_upper,0.869883766
500_3070,sgd_tfidf,std,0.049129194
500_3070,knn_tfidf,f1_mean,0.716325794
500_3070,knn_tfidf,ci_lower,0.603955525
500_3070,knn_tfidf,ci_upper,0.81721514
500_3070,knn_tfidf,std,0.056521888
500_4060,lr_tfidf,f1_mean,0.756220247
500_4060,lr_tfidf,ci_lower,0.657465907
500_4060,lr_tfidf,ci_upper,0.84805492
500_4060,lr_tfidf,std,0.050460554
500_4060,nb_tfidf,f1_mean,0.72008222
500_4060,nb_tfidf,ci_lower,0.610961828
500_4060,nb_tfidf,ci_upper,0.822806685
500_4060,nb_tfidf,std,0.054096123
500_4060,rf_tfidf,f1_mean,0.71873748
500_4060,rf_tfidf,ci_lower,0.599228811
500_4060,rf_tfidf,ci_upper,0.821976311
500_4060,rf_tfidf,std,0.058174564
500_4060,dt_tfidf,f1_mean,0.778336974
500_4060,dt_tfidf,ci_lower,0.688282401
500_4060,dt_tfidf,ci_upper,0.864029718
500_4060,dt_tfidf,std,0.045656259
500_4060,svc_tfidf,f1_mean,0.741353625
500_4060,svc_tfidf,ci_lower,0.633283592
500_4060,svc_tfidf,ci_upper,0.833914729
500_4060,svc_tfidf,std,0.051868507
500_4060,lsvc_tfidf,f1_mean,0.758542862
500_4060,lsvc_tfidf,ci_lower,0.661795859
500_4060,lsvc_tfidf,ci_upper,0.85
500_4060,lsvc_tfidf,std,0.047345468
500_4060,sgd_tfidf,f1_mean,0.798292036
500_4060,sgd_tfidf,ci_lower,0.704277098
500_4060,sgd_tfidf,ci_upper,0.888759097
500_4060,sgd_tfidf,std,0.046319055
500_4060,knn_tfidf,f1_mean,0.728589534
500_4060,knn_tfidf,ci_lower,0.630186989
500_4060,knn_tfidf,ci_upper,0.825114916
500_4060,knn_tfidf,std,0.048493754
500_5050,lr_tfidf,f1_mean,0.712423895
500_5050,lr_tfidf,ci_lower,0.602518407
500_5050,lr_tfidf,ci_upper,0.812059928
500_5050,lr_tfidf,std,0.052553667
500_5050,nb_tfidf,f1_mean,0.644434906
500_5050,nb_tfidf,ci_lower,0.529666915
500_5050,nb_tfidf,ci_upper,0.745337491
500_5050,nb_tfidf,std,0.054292591
500_5050,rf_tfidf,f1_mean,0.654429404
500_5050,rf_tfidf,ci_lower,0.55205099
500_5050,rf_tfidf,ci_upper,0.759405771
500_5050,rf_tfidf,std,0.05614309
500_5050,dt_tfidf,f1_mean,0.838604447
500_5050,dt_tfidf,ci_lower,0.75
500_5050,dt_tfidf,ci_upper,0.912458954
500_5050,dt_tfidf,std,0.040942495
500_5050,svc_tfidf,f1_mean,0.710763171
500_5050,svc_tfidf,ci_lower,0.606792506
500_5050,svc_tfidf,ci_upper,0.808704516
